user_id,user_name,session_id,session_start,session_size,click_article_id,click_timestamp,click_environment,click_deviceGroup
16,Heloisa,150682566000017,1506825660000,7,338351,1506861213535,4,1
17,Gabriel,150682567700018,1506825677000,2,331966,1506827857704,4,4
17,Gabriel,150682567700018,1506825677000,2,331966,1506827887704,4,4
18,Luiza,150682569600019,1506825696000,3,264013,1506826988744,4,1
18,Luiza,150682569600019,1506825696000,3,157861,1506827326697,4,1
18,Luiza,150682569600019,1506825696000,3,348103,1506827356697,4,1
19,Enzo,150682570000020,1506825700000,6,286421,1506827170289,4,1
19,Enzo,150682570000020,1506825700000,6,286420,1506827538003,4,1
19,Enzo,150682570000020,1506825700000,6,286414,1506827555965,4,1
19,Enzo,150682570000020,1506825700000,6,286417,1506827556448,4,1
19,Enzo,150682570000020,1506825700000,6,286410,1506827592116,4,1
19,Enzo,150682570000020,1506825700000,6,168868,1506827622116,4,1
20,Maria Luiza,150682570900021,1506825709000,2,284847,1506826863963,4,3
20,Maria Luiza,150682570900021,1506825709000,2,119592,1506826893963,4,3
21,Matheus,150682572700022,1506825727000,2,157541,1506836548634,4,1
21,Matheus,150682572700022,1506825727000,2,157485,1506836578634,4,1
22,Lorena,150682572800023,1506825728000,2,313504,1506899506250,4,1
22,Lorena,150682572800023,1506825728000,2,140720,1506899536250,4,1
23,Lucas,150682578200024,1506825782000,5,168868,1506826984667,4,3
23,Lucas,150682578200024,1506825782000,5,119592,1506827178467,4,3
23,Lucas,150682578200024,1506825782000,5,96663,1506827303377,4,3
23,Lucas,150682578200024,1506825782000,5,96663,1506827453878,4,3
23,Lucas,150682578200024,1506825782000,5,270225,1506827483878,4,3
24,Livia,150682578700025,1506825787000,5,272947,1506826962091,4,3
24,Livia,150682578700025,1506825787000,5,159359,1506827026691,4,3
24,Livia,150682578700025,1506825787000,5,2137,1506827331547,4,3
24,Livia,150682578700025,1506825787000,5,159359,1506827439476,4,3
24,Livia,150682578700025,1506825787000,5,272947,1506827469476,4,3
25,Benjamin,150682581200026,1506825812000,4,162286,1506827029118,4,1
25,Benjamin,150682581200026,1506825812000,4,287174,1506828507322,4,1
25,Benjamin,150682581200026,1506825812000,4,161498,1506829372915,4,1
25,Benjamin,150682581200026,1506825812000,4,69341,1506829402915,4,1
26,Giovanna,150682582600027,1506825826000,2,128289,1506826907840,4,3
26,Giovanna,150682582600027,1506825826000,2,129960,1506826937840,4,3
27,Nicolas,150682586000028,1506825860000,3,119592,1506827084599,4,3
27,Nicolas,150682586000028,1506825860000,3,4658,1506827212936,4,3
27,Nicolas,150682586000028,1506825860000,3,168868,1506827242936,4,3
28,Guilherme,150682586800029,1506825868000,2,108854,1506827155086,4,1
28,Guilherme,150682586800029,1506825868000,2,97600,1506827185086,4,1
29,Beatriz,150682587700030,1506825877000,2,108854,1506827074980,4,3
29,Beatriz,150682587700030,1506825877000,2,61599,1506827104980,4,3
30,Beatriz,150682588100031,1506825881000,3,283908,1506827043282,4,3
30,Beatriz,150682588100031,1506825881000,3,283908,1506827073282,4,3
31,Murilo,150682588300032,1506825883000,2,145166,1506827880260,4,1
31,Murilo,150682588300032,1506825883000,2,145166,1506827910260,4,1
32,Emanuelly,150682591100033,1506825911000,2,96663,1506826969028,4,1
32,Emanuelly,150682591100033,1506825911000,2,288431,1506826999028,4,1
33,Isaac,150682591300034,1506825913000,2,96663,1506826854147,4,1
33,Isaac,150682591300034,1506825913000,2,284847,1506826884147,4,1
34,Daniel,150682592300035,1506825923000,3,207122,1506868759446,4,1
34,Daniel,150682592300035,1506825923000,3,338351,1506868839640,4,1
34,Daniel,150682592300035,1506825923000,3,207122,1506868869640,4,1
35,Sarah,150682595600036,1506825956000,3,288431,1506826970641,4,3
35,Sarah,150682595600036,1506825956000,3,235840,1506827493776,4,3
